example	definition
cranial pressure What is the definition of cranial?	of or relating to the cranium which encloses the brain
an easy job What is the definition of easy?	posing no difficulty
cranial pressure What is the definition of cranial?	of or relating to the cranium which encloses the brain
an easy job What is the definition of easy?	posing no difficulty
cranial pressure What is the definition of cranial?	of or relating to the cranium which encloses the brain
an easy job What is the definition of easy?	posing no difficulty
cranial pressure What is the definition of cranial?	of or relating to the cranium which encloses the brain
an easy job What is the definition of easy?	posing no difficulty
cranial pressure What is the definition of cranial?	of or relating to the cranium which encloses the brain
an easy job What is the definition of easy?	posing no difficulty
cranial pressure What is the definition of cranial?	of or relating to the cranium which encloses the brain
an easy job What is the definition of easy?	posing no difficulty
